INFO:root:1586702207.560062_model_moe_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch 10240 | lr 0.00 | ms/batch 229.93 | loss 13.74 | aux_loss  0.17 | ppl 925173.96
INFO:root:| epoch   1 | batch 10368 | lr 0.00 | ms/batch 230.46 | loss 13.74 | aux_loss  0.18 | ppl 928365.40
INFO:root:| epoch   1 | batch 10496 | lr 0.00 | ms/batch 231.01 | loss 13.74 | aux_loss  0.17 | ppl 928040.04
INFO:root:| epoch   1 | batch 10624 | lr 0.00 | ms/batch 230.37 | loss 13.73 | aux_loss  0.17 | ppl 921276.20
INFO:root:| epoch   1 | batch 10752 | lr 0.00 | ms/batch 231.64 | loss 13.74 | aux_loss  0.17 | ppl 924901.20
INFO:root:| epoch   1 | batch 10880 | lr 0.00 | ms/batch 229.84 | loss 13.74 | aux_loss  0.17 | ppl 927819.31
INFO:root:| epoch   1 | batch 11008 | lr 0.00 | ms/batch 230.96 | loss 13.74 | aux_loss  0.16 | ppl 924266.16
INFO:root:| epoch   1 | batch 11136 | lr 0.00 | ms/batch 230.56 | loss 13.75 | aux_loss  0.17 | ppl 933716.53
INFO:root:| epoch   1 | batch 11264 | lr 0.00 | ms/batch 230.89 | loss 13.75 | aux_loss  0.17 | ppl 938083.12
INFO:root:| epoch   1 | batch 11392 | lr 0.00 | ms/batch 230.75 | loss 13.74 | aux_loss  0.18 | ppl 924449.28
INFO:root:| epoch   1 | batch 11520 | lr 0.00 | ms/batch 229.06 | loss 13.75 | aux_loss  0.18 | ppl 935851.72
INFO:root:| epoch   1 | batch 11648 | lr 0.00 | ms/batch 228.70 | loss 13.73 | aux_loss  0.17 | ppl 922354.72
INFO:root:| epoch   1 | batch 11776 | lr 0.00 | ms/batch 230.23 | loss 13.75 | aux_loss  0.18 | ppl 933423.42
INFO:root:| epoch   1 | batch 11904 | lr 0.00 | ms/batch 230.17 | loss 13.74 | aux_loss  0.18 | ppl 926211.82
INFO:root:| epoch   1 | batch 12032 | lr 0.00 | ms/batch 230.63 | loss 13.75 | aux_loss  0.18 | ppl 934419.13
INFO:root:| epoch   1 | batch 12160 | lr 0.00 | ms/batch 230.59 | loss 13.74 | aux_loss  0.18 | ppl 929661.34
INFO:root:| epoch   1 | batch 12288 | lr 0.00 | ms/batch 230.95 | loss 13.73 | aux_loss  0.17 | ppl 921796.36
INFO:root:| epoch   1 | batch 12416 | lr 0.00 | ms/batch 229.23 | loss 13.74 | aux_loss  0.19 | ppl 931563.18
INFO:root:| epoch   1 | batch 12544 | lr 0.00 | ms/batch 227.89 | loss 13.75 | aux_loss  0.17 | ppl 932127.06
INFO:root:| epoch   1 | batch 12672 | lr 0.00 | ms/batch 228.45 | loss 13.73 | aux_loss  0.17 | ppl 920031.17
INFO:root:| epoch   1 | batch 12800 | lr 0.00 | ms/batch 229.18 | loss 13.75 | aux_loss  0.18 | ppl 938159.22
INFO:root:| epoch   1 | batch 12928 | lr 0.00 | ms/batch 229.63 | loss 13.73 | aux_loss  0.17 | ppl 922330.63
INFO:root:| epoch   1 | batch 13056 | lr 0.00 | ms/batch 230.19 | loss 13.74 | aux_loss  0.17 | ppl 923542.46
INFO:root:| epoch   1 | batch 13184 | lr 0.00 | ms/batch 231.76 | loss 13.73 | aux_loss  0.18 | ppl 921597.59
INFO:root:| epoch   1 | batch 13312 | lr 0.00 | ms/batch 231.77 | loss 13.74 | aux_loss  0.19 | ppl 924623.03
INFO:root:| epoch   1 | batch 13440 | lr 0.00 | ms/batch 233.08 | loss 13.74 | aux_loss  0.17 | ppl 929169.43
